Id,MS Zoning,Lot Area,Lot Shape,Neighborhood,Bldg Type,House Style,Mas Vnr Type,Exter Qual,Bsmt Qual,Bsmt Exposure,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,Gr Liv Area,Kitchen AbvGr,Kitchen Qual,Garage Finish,Garage Cars,Garage Area,Paved Drive,has_alley,has_fence,has_fireplace,Total Bsmt Bath,total_baths,on_cds,Overall Goodness
0,2658,RM,9142,Reg,OldTown,2fmCon,2Story,None,2,2,1,1020,3,0,908,1928,2,1,1,1,440,1,1,0,0,0,2,0,48
1,2718,RL,9662,IR1,Sawyer,Duplex,1Story,None,2,4,1,1967,2,1,1967,1967,2,2,3,2,580,1,0,0,0,0,2,0,20
2,2414,RL,17104,IR1,Gilbert,1Fam,2Story,None,3,4,3,654,4,1,664,1496,1,3,2,2,426,1,0,0,1,1,3,0,35
3,1989,RM,8520,Reg,OldTown,1Fam,1Story,None,3,3,1,968,2,1,968,968,1,2,1,2,480,0,0,0,0,0,1,0,30
4,625,RL,9500,IR1,NAmes,1Fam,1Story,BrkFace,2,4,1,1394,3,1,1394,1394,1,2,2,2,514,1,0,0,1,1,2,0,30
5,333,RM,1890,Reg,MeadowV,TwnhsE,2Story,None,2,3,1,546,2,1,546,1092,1,2,1,1,286,1,0,0,0,0,2,0,24
6,1327,RM,8516,Reg,OldTown,1Fam,1Story,None,2,3,1,869,2,1,1093,1093,1,2,1,1,308,1,0,0,0,0,1,0,24
7,858,RL,9286,IR1,CollgCr,1Fam,1Story,None,2,4,3,1268,2,1,1268,1268,1,3,1,1,252,1,0,0,0,0,2,1,35
8,95,FV,3515,Reg,Somerst,TwnhsE,2Story,None,3,4,1,840,4,1,840,1680,1,3,2,2,588,1,1,0,0,0,3,0,35
9,1568,RL,10125,Reg,Mitchel,1Fam,1Story,None,2,3,1,1196,2,1,1279,1279,1,2,1,2,473,1,0,1,1,1,2,0,36
10,2482,RL,7175,Reg,SawyerW,TwnhsE,1Story,None,3,4,1,1217,3,1,1217,1217,1,3,2,2,484,1,0,0,0,0,2,0,30
11,1364,RM,7200,Reg,IDOTRR,1Fam,1Story,None,2,3,1,1040,3,1,1040,1040,1,2,1,2,320,1,0,0,0,0,1,0,42
12,2584,RL,11310,Reg,NAmes,1Fam,1Story,None,2,3,1,1367,4,1,1375,1375,1,2,1,2,451,1,0,0,1,0,1,0,30
