MS Zoning,Lot Area,Lot Shape,Neighborhood,Bldg Type,House Style,Mas Vnr Type,Exter Qual,Bsmt Qual,Bsmt Exposure,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,Gr Liv Area,Kitchen AbvGr,Kitchen Qual,Garage Finish,Garage Cars,Garage Area,Paved Drive,SalePrice,has_alley,has_fence,has_fireplace,Total Bsmt Bath,total_baths,on_cds,Overall Goodness
0,RL,13517,IR1,Sawyer,1Fam,2Story,BrkFace,3,3,1,725.0,4,1,725,1479,1,3,2,2.0,475.0,1,130500,0,0,0,0.0,3,1,48
1,RL,11492,IR1,SawyerW,1Fam,2Story,BrkFace,3,4,1,913.0,4,1,913,2122,1,3,2,2.0,559.0,1,220000,0,0,1,1.0,3,1,35
2,RL,7922,Reg,NAmes,1Fam,1Story,None,2,3,1,1057.0,2,1,1057,1057,1,3,1,1.0,246.0,1,109000,0,0,0,1.0,1,0,35
3,RL,9802,Reg,Timber,1Fam,2Story,None,2,4,1,384.0,3,1,744,1444,1,2,3,2.0,400.0,1,174000,0,0,0,0.0,3,0,25
4,RL,14235,IR1,SawyerW,1Fam,1.5Fin,None,2,2,1,676.0,2,1,831,1445,1,2,1,2.0,484.0,0,138500,0,0,0,0.0,2,0,48
5,RL,16492,IR1,NAmes,1Fam,1Story,None,3,3,1,1517.0,4,1,1888,1888,1,3,3,2.0,578.0,1,190000,0,0,1,0.0,3,0,36
6,RM,3675,Reg,Edwards,TwnhsE,SFoyer,BrkFace,2,4,4,547.0,3,1,1072,1072,1,2,3,2.0,525.0,1,140000,0,0,0,1.0,2,0,30
7,RL,12160,IR1,NAmes,1Fam,1Story,BrkFace,2,3,1,1188.0,1,1,1188,1188,1,2,2,2.0,531.0,1,142000,0,1,0,1.0,1,0,25
8,RL,15783,Reg,OldTown,1Fam,1Story,None,2,3,1,924.0,2,1,924,924,1,2,1,1.0,420.0,1,112500,0,1,0,0.0,1,0,25
9,RL,11606,IR1,NAmes,1Fam,2Story,BrkFace,2,4,3,1040.0,2,1,1040,2080,1,1,1,2.0,504.0,1,135000,0,0,1,1.0,3,0,25
10,RM,1680,Reg,BrDale,Twnhs,2Story,BrkFace,2,3,1,483.0,2,1,483,987,1,2,1,1.0,264.0,1,85400,0,0,0,0.0,2,0,30
11,RL,7488,IR1,CollgCr,1Fam,1Story,None,3,4,3,1208.0,4,1,1208,1208,1,3,2,2.0,632.0,1,183600,0,0,0,0.0,2,0,35
12,RL,26400,Reg,SawyerW,1Fam,2Story,None,3,0,0,0.0,4,1,1288,2016,1,2,1,2.0,576.0,0,131000,0,0,1,0.0,1,0,35
13,FV,2645,Reg,Somerst,Twnhs,2Story,BrkFace,3,4,1,960.0,4,1,962,1607,1,3,1,2.0,480.0,1,200000,1,0,0,1.0,3,0,40
14,RL,9627,Reg,CollgCr,1Fam,1Story,None,3,4,3,1351.0,4,1,1361,1361,1,3,2,2.0,610.0,1,193000,0,0,0,0.0,2,0,35
15,RL,10114,Reg,Mitchel,1Fam,1Story,None,2,5,3,1430.0,4,1,1430,1430,1,3,2,2.0,624.0,1,173500,0,0,0,0.0,2,0,25
16,RM,4571,Reg,OldTown,1Fam,2Story,None,2,3,1,624.0,1,0,624,1344,1,2,1,3.0,513.0,1,98000,1,0,0,0.0,1,0,25
17,RL,8816,Reg,Sawyer,1Fam,1Story,None,2,3,1,1121.0,2,1,1121,1121,1,2,1,2.0,480.0,1,139000,0,1,0,1.0,1,0,30
18,RL,8197,Reg,Sawyer,1Fam,1Story,BrkFace,2,3,1,660.0,4,1,1285,1285,1,2,2,2.0,528.0,1,143500,0,1,1,0.0,2,0,30
19,FV,8640,Reg,Somerst,1Fam,2Story,None,2,4,2,756.0,4,1,764,1547,1,3,1,2.0,614.0,1,215200,0,0,0,0.0,3,0,35
20,RL,8724,Reg,Sawyer,1Fam,1Story,None,2,4,1,894.0,3,1,894,894,1,2,3,2.0,450.0,1,129000,0,0,1,0.0,1,0,25
21,RL,5664,IR1,StoneBr,TwnhsE,1Story,None,3,4,1,1501.0,4,1,1659,1659,1,4,3,2.0,499.0,1,278000,0,0,1,1.0,2,0,40
